date,name,open,close,high,low,volume
1/2/2018,AMZN,1172,1189.01,1190,1170.51,2694494
1/3/2018,AMZN,1188.3,1204.2,1205.49,1188.3,3108793
1/4/2018,AMZN,1205,1209.59,1215.87,1204.66,3022089
1/5/2018,AMZN,1217.51,1229.14,1229.14,1210,3544743
1/8/2018,AMZN,1236,1246.87,1253.08,1232.03,4279475
1/9/2018,AMZN,1256.9,1252.7,1259.33,1241.76,3661316
1/10/2018,AMZN,1245.15,1254.33,1254.33,1237.23,2686017
1/11/2018,AMZN,1259.74,1276.68,1276.77,1256.46,3125048
1/12/2018,AMZN,1273.39,1305.2,1305.76,1273.39,5443730
1/16/2018,AMZN,1323,1304.86,1339.94,1292.3,7220701
1/17/2018,AMZN,1312.24,1295,1314,1280.88,5253754
1/18/2018,AMZN,1293.95,1293.32,1304.6,1284.02,4026915
1/19/2018,AMZN,1312,1294.58,1313,1292.99,4578536
1/22/2018,AMZN,1297.17,1327.31,1327.45,1296.66,4140061
1/23/2018,AMZN,1338.09,1362.54,1364.9,1337.34,5169306
1/24/2018,AMZN,1374.82,1357.51,1388.16,1338,6807457
1/25/2018,AMZN,1368,1377.95,1378.34,1357.62,4753012
1/26/2018,AMZN,1392.01,1402.05,1402.53,1380.91,4857310
1/29/2018,AMZN,1409.18,1417.68,1431.39,1400.44,5701898
1/30/2018,AMZN,1403.17,1437.82,1439.25,1392,5871942
1/31/2018,AMZN,1451.3,1450.89,1472.58,1450.04,6424693
2/1/2018,AMZN,1445,1390,1459.88,1385.14,9113808
2/2/2018,AMZN,1477.39,1429.95,1498,1414,11125722
2/5/2018,AMZN,1402.62,1390,1458.98,1320.72,11494985
2/6/2018,AMZN,1361.46,1442.84,1443.99,1351.79,11066819
2/7/2018,AMZN,1449,1416.78,1460.99,1415.15,7162741
2/8/2018,AMZN,1429.68,1350.5,1433.75,1349.94,8578557
2/9/2018,AMZN,1373.49,1339.6,1383.5,1265.93,14141524
2/12/2018,AMZN,1364.67,1386.23,1393.81,1344.01,6738944
2/13/2018,AMZN,1385.93,1414.51,1419.72,1383.53,5917879
2/14/2018,AMZN,1406.25,1451.05,1452.06,1403.36,5959209
2/15/2018,AMZN,1466.89,1461.76,1468.94,1436.84,5652736
2/16/2018,AMZN,1457.37,1448.69,1465.8,1446.56,4472564
2/20/2018,AMZN,1446.49,1468.35,1488.77,1446.49,6499228
2/21/2018,AMZN,1485,1482.92,1503.49,1478.92,6304351
2/22/2018,AMZN,1495.36,1485.34,1502.54,1475.76,4858063
2/23/2018,AMZN,1495.34,1500,1500,1486.5,4418103
2/26/2018,AMZN,1509.2,1521.95,1522.84,1507,4954988
2/27/2018,AMZN,1524.5,1511.98,1526.78,1507.21,4808776
2/28/2018,AMZN,1519.51,1512.45,1528.7,1512,4515023
3/1/2018,AMZN,1513.6,1493.45,1518.49,1465,6835230
3/2/2018,AMZN,1469.1,1500.25,1501.05,1455.01,6587564
3/5/2018,AMZN,1494.24,1523.61,1525.38,1481,5233934
3/6/2018,AMZN,1533.2,1537.64,1542.13,1528,4561718
3/7/2018,AMZN,1526.52,1545,1545.9,1522.51,4174123
3/8/2018,AMZN,1550,1551.86,1554.88,1545.25,3862615
3/9/2018,AMZN,1563.5,1578.89,1578.94,1559.08,4534250
3/12/2018,AMZN,1592.6,1598.39,1605.33,1586.7,5174211
3/13/2018,AMZN,1615.96,1588.18,1617.54,1578.01,6531892
3/14/2018,AMZN,1597,1591,1606.44,1590.89,4259443
3/15/2018,AMZN,1595,1582.32,1596.91,1578.11,4069701
3/16/2018,AMZN,1583.45,1571.68,1589.44,1567.5,5425012
3/19/2018,AMZN,1554.53,1544.93,1561.66,1525.35,6580766
3/20/2018,AMZN,1550.34,1586.51,1587,1545.41,4581568
3/21/2018,AMZN,1586.45,1581.86,1590,1563.17,4750771
3/22/2018,AMZN,1565.47,1544.92,1573.85,1542.4,6320551
3/23/2018,AMZN,1539.01,1495.56,1549.02,1495.36,8006033
3/26/2018,AMZN,1530,1555.86,1556.99,1499.25,5624700
3/27/2018,AMZN,1572.4,1497.05,1575.97,1482.32,6999631
3/28/2018,AMZN,1447,1431.42,1455.9,1386.17,13705317
3/29/2018,AMZN,1406,1447.34,1455.47,1365.2,12581121
4/2/2018,AMZN,1417.62,1371.99,1421.36,1355,10463607
4/3/2018,AMZN,1391.38,1392.05,1414,1355.33,10231212
4/4/2018,AMZN,1358.24,1410.57,1415.39,1352.88,6982305
4/5/2018,AMZN,1441.99,1451.75,1459.56,1427.07,6413459
4/6/2018,AMZN,1429.97,1405.23,1452.5,1400.26,5882257
4/9/2018,AMZN,1425.03,1406.08,1438.48,1402.57,4208206
4/10/2018,AMZN,1431.99,1436.22,1438.38,1415.7,4280144
4/11/2018,AMZN,1439.44,1427.05,1448.78,1424.89,3582533
4/12/2018,AMZN,1439.5,1448.5,1452.12,1435.06,3135027
4/13/2018,AMZN,1449.14,1430.79,1459.78,1424.52,3685267
4/16/2018,AMZN,1445,1441.5,1447,1427.48,2808624
4/17/2018,AMZN,1445,1441.5,1447,1427.48,71678
4/18/2018,AMZN,1514.65,1527.84,1533.8,1504.11,5227509
4/19/2018,AMZN,1543.22,1556.91,1568.52,1539.06,6523728
4/20/2018,AMZN,1561.2,1527.49,1561.2,1516.09,5541622
4/23/2018,AMZN,1546.69,1517.86,1548,1503.41,4465424
4/24/2018,AMZN,1535.8,1460.09,1539.5,1448.45,7494699
4/25/2018,AMZN,1458,1460.17,1469.99,1415.02,6587290
4/26/2018,AMZN,1485.01,1517.96,1529.42,1478.5,8801101
4/27/2018,AMZN,1634.01,1572.62,1638.1,1567.39,13053241
4/30/2018,AMZN,1582.5,1566.13,1596,1560.94,5464085
5/1/2018,AMZN,1563.22,1582.26,1585,1552.18,4572071
5/2/2018,AMZN,1580.98,1569.68,1588.5,1566.36,4360273
5/3/2018,AMZN,1560.01,1572.08,1574.8,1546.02,4251917
5/4/2018,AMZN,1562.45,1580.95,1584.9,1562.19,3443567
5/7/2018,AMZN,1589.34,1600.14,1606.95,1587.83,3801855
5/8/2018,AMZN,1595,1592.39,1596.88,1582.51,3067949
5/9/2018,AMZN,1600,1608,1608,1592,3637302
5/10/2018,AMZN,1608.48,1609.08,1615.6,1603.44,2817450
5/11/2018,AMZN,1610.99,1602.91,1611.1,1597.89,2263900
5/14/2018,AMZN,1604,1601.54,1611.18,1600.05,2509483
5/15/2018,AMZN,1587.8,1576.12,1587.8,1565.22,5077465
5/16/2018,AMZN,1577.5,1587.28,1594.43,1576.67,2570572
5/17/2018,AMZN,1580.56,1581.76,1594.04,1573,2147606
5/18/2018,AMZN,1581.33,1574.37,1583.59,1572.1,2642584
5/21/2018,AMZN,1585,1585.46,1592.05,1575,2925235
5/22/2018,AMZN,1589.89,1581.4,1589.89,1575.25,2115639
5/23/2018,AMZN,1571.05,1601.86,1601.86,1566.34,3361892
5/24/2018,AMZN,1598.03,1603.07,1608.24,1588.38,3429975
5/25/2018,AMZN,1603,1610.15,1614.12,1600.45,2698400
5/29/2018,AMZN,1600.71,1612.87,1621.79,1600.15,3846477
5/30/2018,AMZN,1618.1,1624.89,1626,1612.93,2907357
5/31/2018,AMZN,1623,1629.62,1635,1621.35,3166330
6/1/2018,AMZN,1637.03,1641.54,1646.73,1635.09,3313385
6/4/2018,AMZN,1648.9,1665.27,1665.68,1645.49,3187737
6/5/2018,AMZN,1672.99,1696.35,1699,1670.06,4782177
6/6/2018,AMZN,1704.51,1695.75,1714.5,1686.47,5473213
6/7/2018,AMZN,1698.56,1689.3,1699.9,1676.11,3765687
6/8/2018,AMZN,1681.12,1683.99,1689.44,1673.01,2955110
6/11/2018,AMZN,1681.51,1689.12,1694.24,1680.59,2335484
6/12/2018,AMZN,1693,1698.75,1699.51,1691.52,2259215
6/13/2018,AMZN,1702.81,1704.86,1713.75,1700.12,3327529
6/14/2018,AMZN,1713.48,1723.86,1724.8,1708.87,3174415
6/15/2018,AMZN,1714,1715.97,1720.87,1708.52,4777646
6/18/2018,AMZN,1706.26,1723.79,1726.74,1702.56,3107742
6/19/2018,AMZN,1709.04,1734.78,1736.11,1700.39,4290117
6/20/2018,AMZN,1742.5,1750.08,1762.93,1741.36,4332591
6/21/2018,AMZN,1760,1730.22,1763.1,1717.56,4941148
6/22/2018,AMZN,1742.62,1715.67,1743,1711.9,4075124
6/25/2018,AMZN,1702.51,1663.15,1705,1646.31,7511196
6/26/2018,AMZN,1672.37,1691.09,1701.57,1663.34,4386585
6/27/2018,AMZN,1708.11,1660.51,1711.95,1660,4872201
6/28/2018,AMZN,1672.54,1701.45,1705.5,1661.17,4529700
6/29/2018,AMZN,1717,1699.8,1723.41,1694.32,4543508
7/2/2018,AMZN,1682.7,1713.78,1713.89,1678.06,3185696
7/3/2018,AMZN,1723.96,1693.96,1725,1692.48,2177276
7/5/2018,AMZN,1705.38,1699.73,1710.69,1682.15,2983110
7/6/2018,AMZN,1696,1710.63,1715.27,1691.67,2650262
7/9/2018,AMZN,1724.05,1739.02,1739.56,1716.23,3011988
7/10/2018,AMZN,1738.53,1743.07,1750,1731,3002905
7/11/2018,AMZN,1737.99,1755,1756.96,1734,3209782
7/12/2018,AMZN,1764.51,1796.62,1798,1762.18,4532743
7/13/2018,AMZN,1803.93,1813.03,1815.3,1795.23,4386679
7/16/2018,AMZN,1821.95,1822.49,1841.95,1814.45,5466195
7/17/2018,AMZN,1811.56,1843.93,1851.69,1797.38,5682881
7/18/2018,AMZN,1848,1842.92,1858.88,1831.27,4861913
7/19/2018,AMZN,1829.46,1812.97,1841,1811.27,4676942
7/20/2018,AMZN,1825.01,1813.7,1834.84,1810.06,3891566
7/23/2018,AMZN,1812.21,1802,1819,1769.99,3888462
7/24/2018,AMZN,1829.01,1829.24,1840,1809.38,4278723
7/25/2018,AMZN,1829.3,1863.61,1863.84,1822.64,3836333
7/26/2018,AMZN,1839,1808,1844.68,1804.5,9924371
7/27/2018,AMZN,1876.05,1817.27,1880.05,1806.53,9680959
7/30/2018,AMZN,1827.33,1779.22,1829.5,1766.02,6562321
7/31/2018,AMZN,1786.49,1777.44,1801.83,1739.32,5738713
8/1/2018,AMZN,1784,1797.17,1798.44,1776.02,4153096
8/2/2018,AMZN,1788.77,1834.33,1836.56,1786,4354681
8/3/2018,AMZN,1837.74,1823.29,1841,1821.5,3460487
8/6/2018,AMZN,1825.81,1847.75,1847.77,1818.92,3391825
8/7/2018,AMZN,1854.53,1862.48,1869.72,1846.27,3377473
8/8/2018,AMZN,1861,1886.52,1891.51,1854.5,3963017
8/9/2018,AMZN,1882,1898.52,1914.57,1877.48,4860374
8/10/2018,AMZN,1888.51,1886.3,1899.5,1878.21,3639927
8/13/2018,AMZN,1898.5,1896.2,1925,1893.67,5531475
8/14/2018,AMZN,1919.39,1919.65,1921.01,1900,3986123
8/15/2018,AMZN,1909.55,1882.62,1916.21,1869.79,7700682
8/16/2018,AMZN,1903.94,1886.52,1905,1883.55,3957090
8/17/2018,AMZN,1885.8,1882.22,1888,1855.55,4104300
8/20/2018,AMZN,1890.57,1876.71,1891.75,1866.06,2862016
8/21/2018,AMZN,1880,1883.42,1897.75,1874.41,3105626
8/22/2018,AMZN,1876.64,1904.9,1905.8,1876.64,3080464
8/23/2018,AMZN,1907.17,1902.9,1919.5,1900.76,3562997
8/24/2018,AMZN,1910.51,1905.39,1916.01,1902.54,2800863
8/27/2018,AMZN,1915,1927.68,1927.7,1909.28,3569037
8/28/2018,AMZN,1937.73,1932.82,1941.78,1928.82,3100727
8/29/2018,AMZN,1953.45,1998.1,1998.69,1948.94,6531761
8/30/2018,AMZN,1997.42,2002.38,2025.57,1986.9,7277257
8/31/2018,AMZN,2007,2012.71,2022.38,2004.74,4204378
9/4/2018,AMZN,2026.5,2039.51,2050.5,2013,5721093
9/5/2018,AMZN,2038.11,1994.82,2040.38,1989.89,8220576
9/6/2018,AMZN,2006.51,1958.31,2007.5,1935.21,7488680
9/7/2018,AMZN,1938.71,1952.07,1975.2,1937.35,4892643
9/10/2018,AMZN,1971,1939.01,1973.04,1931.52,4544831
9/11/2018,AMZN,1928.27,1987.15,1988.88,1917,5033645
9/12/2018,AMZN,1994,1990,2000,1962.44,4414012
9/13/2018,AMZN,2000,1989.87,2008.76,1982.03,3621511
9/14/2018,AMZN,1992.93,1970.19,1993.65,1959.22,3642030
9/17/2018,AMZN,1954.73,1908.03,1956.82,1887.41,7050192
9/18/2018,AMZN,1918.65,1941.05,1958.2,1915.44,4268706
9/19/2018,AMZN,1940.5,1926.42,1940.83,1904.9,4056822
9/20/2018,AMZN,1938.58,1944.3,1955,1932.25,3154934
9/21/2018,AMZN,1954.22,1915.01,1957.31,1910.5,6855898
9/24/2018,AMZN,1903.79,1934.36,1936.88,1865,4213728
9/25/2018,AMZN,1942.9,1974.55,1975.91,1938.85,4538407
9/26/2018,AMZN,1968.5,1974.85,1995.25,1961.52,4313459
9/27/2018,AMZN,1993.24,2012.98,2016.16,1988.58,4329391
9/28/2018,AMZN,2004.41,2003,2026.52,1996.46,4085135
10/1/2018,AMZN,2021.99,2004.36,2033.19,2003.6,3468285
10/2/2018,AMZN,1999.99,1971.31,2013.39,1965.77,5400749
10/3/2018,AMZN,1981.7,1952.76,1989.7,1949.81,5253131
10/4/2018,AMZN,1949,1909.42,1956,1896.57,7256973
10/5/2018,AMZN,1917.99,1889.65,1929.08,1862.83,6822327
10/8/2018,AMZN,1874,1864.42,1902,1830.66,7393199
10/9/2018,AMZN,1859.99,1870.32,1896.68,1852.32,4772866
10/10/2018,AMZN,1857.89,1755.25,1858.56,1754.41,10988855
10/11/2018,AMZN,1724,1719.36,1755.4,1685.1,13935872
10/12/2018,AMZN,1808,1788.61,1808.95,1742.53,9444587
10/15/2018,AMZN,1795,1760.95,1795.05,1734.23,6437162
10/16/2018,AMZN,1783.5,1819.96,1823.88,1761.55,5859918
10/17/2018,AMZN,1842.79,1831.73,1845,1807,5295177
10/18/2018,AMZN,1821.49,1770.72,1830.15,1767.87,5873995
10/19/2018,AMZN,1785.16,1764.03,1809.1,1753,5907246
10/22/2018,AMZN,1784,1789.3,1809.5,1756,4500015
10/23/2018,AMZN,1742.24,1768.7,1776.34,1714,6723913
10/24/2018,AMZN,1773.7,1664.2,1777.71,1656.56,6928383
10/25/2018,AMZN,1703.34,1782.17,1794.81,1692.01,10285742
10/26/2018,AMZN,1649.59,1642.81,1698.46,1603,14963783
10/29/2018,AMZN,1660,1538.88,1665.74,1495,13866077
10/30/2018,AMZN,1486.16,1530.42,1540.99,1476.36,12460086
10/31/2018,AMZN,1569.99,1598.01,1623.91,1565.09,9390211
11/1/2018,AMZN,1623.53,1665.53,1670.45,1598.44,8135539
11/2/2018,AMZN,1678.59,1665.53,1697.44,1651.83,6955548
11/5/2018,AMZN,1657.57,1627.8,1658.09,1596.36,5624727
11/6/2018,AMZN,1618.35,1642.81,1665,1614.55,4257353
11/7/2018,AMZN,1673,1755.49,1759.23,1664.08,8192234
11/8/2018,AMZN,1755,1754.91,1784,1725.11,6534866
11/9/2018,AMZN,1732.5,1712.43,1743.92,1701.87,5902186
11/12/2018,AMZN,1698.24,1636.85,1708.55,1630.01,6806245
11/13/2018,AMZN,1649.29,1631.17,1677.06,1613.75,5933271
11/14/2018,AMZN,1656.32,1599.01,1673,1597.07,6486891
11/15/2018,AMZN,1581.01,1619.44,1624.82,1546.51,8427337
11/16/2018,AMZN,1587.5,1593.41,1614.48,1573.12,6066080
11/19/2018,AMZN,1577.01,1512.29,1581.19,1503.36,7789981
11/20/2018,AMZN,1437.5,1495.46,1534.75,1420,10878823
11/21/2018,AMZN,1542.99,1516.73,1550,1515,5716800
11/23/2018,AMZN,1517,1502.06,1536.2,1501.81,2707642
11/26/2018,AMZN,1539,1581.33,1584.81,1524.22,6257716
11/27/2018,AMZN,1575.99,1581.42,1597.65,1558.01,5783227
11/28/2018,AMZN,1613.92,1677.75,1681.45,1601.22,8458738
11/29/2018,AMZN,1674.99,1673.57,1689.99,1652.33,6613243
11/30/2018,AMZN,1679.5,1690.17,1696,1666.5,5761761
12/3/2018,AMZN,1769.46,1772.36,1778.34,1730,6862160
12/4/2018,AMZN,1756,1668.4,1770.34,1665,8694455
12/6/2018,AMZN,1614.87,1699.19,1701.05,1609.85,8789394
12/7/2018,AMZN,1705.07,1629.13,1718.93,1625.46,7576132
12/10/2018,AMZN,1623.84,1641.03,1657.99,1590.87,7494808
12/11/2018,AMZN,1678,1643.24,1679.47,1619.6,6244695
12/12/2018,AMZN,1669,1663.54,1704.99,1660.27,6597968
12/13/2018,AMZN,1680,1658.38,1692.12,1641.5,5271162
12/14/2018,AMZN,1638,1591.91,1642.57,1585,6367163
12/17/2018,AMZN,1566,1520.91,1576.13,1505.01,8829762
12/18/2018,AMZN,1540,1551.48,1567.55,1523.01,6522975
12/19/2018,AMZN,1543.05,1495.08,1584.53,1483.18,8792189
12/20/2018,AMZN,1484,1460.83,1509.5,1432.69,9991833
12/21/2018,AMZN,1464.99,1377.45,1480,1363.96,13640320
12/24/2018,AMZN,1346,1343.96,1396.03,1307,7219996
12/26/2018,AMZN,1368.89,1470.9,1473.16,1363.01,10411801
12/27/2018,AMZN,1454.2,1461.64,1469,1390.31,9722034
12/28/2018,AMZN,1473.35,1478.02,1513.47,1449,8828950
12/31/2018,AMZN,1510.8,1501.97,1520.76,1487,6954507
